nama_destinasi,username,komentar,rating,tanggal
Ramayana Ballet Prambanan,MK,"Selalu suka dengan pertunjukan nya, sedih krn hujan jadinya indoor show nya....","5,0
/5",8 Apr 2025
Ramayana Ballet Prambanan,Miranda Tjahjadi,Sangatt sangatt baguss dan sangattt recomendeddd utk di tonton. Anak2 pun senang sekali dgn pertunjukannya,"5,0
/5",7 Apr 2025
Ramayana Ballet Prambanan,Riqi Riqi,Pengalaman pertunjukan kebudayaan jawa terbaik,"5,0
/5",5 Apr 2025
Ramayana Ballet Prambanan,Muhammad Iqbal,Ngk nyesalll nnton ini walaupun di indoor tapi mudh2an next time bisa nnton di outdoor dan mmg praktis kalau kita booking deluannn 🙏🏻,"5,0
/5",4 Mar 2025
Ramayana Ballet Prambanan,Intan Ama Yuniari,bagus bgttttttttttttttttttttttrtttrttrrttt,"5,0
/5",1 Mar 2025
Ramayana Ballet Prambanan,Chusnul Syahri,Keren bangettttttt 🔥🔥🔥🔥,"5,0
/5",1 Mar 2025
Ramayana Ballet Prambanan,Sarah Febra Aldina,Sangat bagus. Cerita jelas dan sangat menghibur,"5,0
/5",22 Feb 2025
Ramayana Ballet Prambanan,Trisnawati Trisnawati,"Bagus sekali. Pertunjukan yang sangat mendidik, memperkenalkan ke anak juga gimana cerita Ramayana","5,0
/5",20 Feb 2025
Ramayana Ballet Prambanan,HH,"Semuanya keren, cuma kasian jatayunya kepalanya tengkleng sepertinya disalah bantal waktu tidur , tp jadi lucu liatnya 😆 sehat2 ya jatayu","5,0
/5",20 Feb 2025
Ramayana Ballet Prambanan,Hayu Priyanggono,It’s was amazing performance,"5,0
/5",16 Feb 2025
Ramayana Ballet Prambanan,NU,Indah sekali! Performance memuaskan!,"5,0
/5",5 Feb 2025
Ramayana Ballet Prambanan,Ita Asmani,Dapat diskon saat penbelian tiket.,"5,0
/5",2 Feb 2025
Ramayana Ballet Prambanan,Ondo Ungkap A,Harga tiket ramayana paling murah untuk semua OTA yang ada. Penukaran voucher juga cepat dan tanpa kesusahan. Maju trus tiket.com,"5,0
/5",30 Jan 2025
Ramayana Ballet Prambanan,aisyah Sumalyani,"Minimal sekali seumur hidup wajib liat ramayana ballet prambanan ! Syg waktu itu dpt yg indoor, kalau outdoor view langsung prambanan.","5,0
/5",4 Jan 2025
Ramayana Ballet Prambanan,ipungtelegmailcom ipungtelegmailcom,"Pengalaman hal baru untuk anak anak lebih mengenal budaya negeri,dari segi cerita,narasi,tata lampu,Custom, hingga detail make up nya terlihat benar totalitas sebuah pertunjukam","5,0
/5",2 Jan 2025
Ramayana Ballet Prambanan,PP,"Bagus, Edukatif, Berbudaya, Emosional, Menarik","5,0
/5",26 Dec 2024
Ramayana Ballet Prambanan,AI,"Alur cerita mudah dipahami dan visualisasinya tersampaikan, ada sisipan komedinya, tidak membosankan. Worth to try. Mungkin akan lebih enak klo outdoor, berhubung di November (musim hujan) kedapatan j...","5,0
/5",25 Dec 2024
Ramayana Ballet Prambanan,RS,"Bagus, belajar mengenalkan kesenian","5,0
/5",23 Dec 2024
Ramayana Ballet Prambanan,Bagas Restu Dony Fredy Kurniawan,one of the best local show,"5,0
/5",1 Dec 2024
Ramayana Ballet Prambanan,Muhammad Ade kurniawan,"Seru juga, lumayan bagus","5,0
/5",27 Nov 2024
Ramayana Ballet Prambanan,CW,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,"5,0
/5",22 Nov 2024
Ramayana Ballet Prambanan,Diana Cherny Dheashinta,Seru banget???!?!!! Sebenernya aku diajak temenku kesini trs keren sii pemainnya. Kebetulan di indoor karena musim hujan dan memang malemnya hujan. Bagus banget bisa ngeliat prambanan di malam hari me...,"5,0
/5",21 Nov 2024
Ramayana Ballet Prambanan,SS,keren banget tiket .com..pengalaman yg tak terlupakan bisa menonton sendratari yg sangat susah tiketnya...tapi terimakasih tiket.com sudah membantu saya...keren abiss pokoknya,"5,0
/5",18 Nov 2024
Ramayana Ballet Prambanan,TP,"Keren , pengalaman yg baru , lestaribudayaku","5,0
/5",11 Nov 2024
Ramayana Ballet Prambanan,OD,Senang sekali bisa solo traveling tahun ini,"5,0
/5",10 Nov 2024
Ramayana Ballet Prambanan,AD,sangat memudahkan. penukaran tiket juga praktis pertunjukannya juga menarik,"5,0
/5",9 Nov 2024
Ramayana Ballet Prambanan,EK,keren banget pasti meski aku ngga bisa nonton krna ada halangan,"5,0
/5",8 Nov 2024
Ramayana Ballet Prambanan,Taufikur Rofik,pertunjukan sejarah nya sangat profesional,"5,0
/5",5 Nov 2024
Ramayana Ballet Prambanan,Cyntia Rofiastuti,"Teater nya seru. Lighting dan soundnya support panggung bgt jadi lebih bagus secara visual. Tp sayang bgt, pesenn tiket outdoor tp haruss move ke indoor grgr hujan huhuhu tp gapapa. Overall good ^ ^","5,0
/5",4 Nov 2024
